n1,n2,intensity,distance,R1+R2,projection_volume
614,1004,14984.55808,1.90010526,0.8601436927447392,0.12024032825
614,693,13939.398769999998,2.056039883,1.0080657607313075,0.2114610337
693,830,13877.59375,1.238951169,0.9558893150220519,0.2141798575
693,88,13764.34863,1.5796835130000002,1.0616448387014188,0.5381425098
88,63,13433.611330000002,0.366878727,0.8684004274099406,0.07747368685
693,1,13277.1123,1.7505998969999998,0.8038110514281207,0.05585276515
693,946,13097.48633,1.951127879,1.060770950907936,0.3921626408
614,1,12923.95232,1.885444245,0.7956426089189491,0.0523104136625
693,614,12884.13874,2.056039883,1.0080657607313075,0.2991153942
88,693,12849.55371,1.5796835130000002,1.0616448387014188,0.353444889
88,830,12724.46786,1.035084538,1.0012999504829914,0.2239139427
693,126,12681.41339,1.382931669,0.8199122919323975,0.053221233625
1004,1,12681.38184,0.05,0.6558889834415522,0.048127139725
126,1004,12646.34473,0.394461658,0.6719902239458291,0.07858786599999999
614,223,12514.73926,1.444783721,0.9088248292424792,0.1251322408
693,223,12407.46387,0.870114935,0.9169932717516508,0.151935525
491,525,12300.37793,0.413400532,0.8986306707095126,0.2017909082
88,286,11832.35059,0.883232699,0.8043251394335993,0.0302754076625
88,347,11755.75829,5.333001031,0.8503126615120187,0.048145048
88,523,11694.375,1.110900536,1.0639269687193722,0.3331861379
614,126,11385.21582,1.928419042,0.8117438494232259,0.0550469038
88,614,11221.72405,1.053422992,1.053476396192247,0.3366919066
88,797,11171.21191,2.315037797,1.308245380764844,0.27810094550000003
946,491,11071.21594,0.929139387,1.05802062770904,0.0428617681625
88,194,11012.07715,1.1071133640000002,1.3443135895866778,0.8237089434
126,693,10837.54297,1.382931669,0.8199122919323975,0.1217652842
88,515,10758.87012,0.620483682,1.0123607957517375,0.20757507645
88,38,10634.35352,3.205635662,0.909337756720442,0.083024179
1004,126,10629.71582,0.394461658,0.6719902239458291,0.05193357365
491,210,10561.48633,0.908019824,0.7696937301875273,0.03732766345
797,470,10519.07227,0.921954446,1.1142886541804131,0.091042637
126,1,10376.23828,0.433704969,0.607489140120039,0.0289740374875
491,946,10111.12695,0.929139387,1.05802062770904,0.3197561444
194,364,10105.96878,0.8832893070000001,1.1317648692992548,0.0550816889
946,525,10104.53418,0.623698645,0.9459177415758652,0.1118914363
88,223,9844.30957,1.451516448,0.9624039072125902,0.14775410265
693,63,9760.554028,1.438957956,0.8229897919490011,0.0960333115
693,286,9617.307755,1.394668419,0.7589145039726599,0.040528393675
523,515,9591.381836,0.584893153,0.9692322903087516,0.1057228214
693,347,9559.629883,5.760651005,0.8049020260510791,0.08284967530000001
194,470,9536.213982,0.823468275,1.1503568630022465,0.0214464182296875
364,470,9318.18457,1.076150547,0.7005500272905043,0.0436055263
194,797,9300.91417,1.336600165,1.5455034961891636,0.231152502
693,194,9290.564453,1.972485741,1.2989029541257382,0.9150322328
693,515,9149.792969,1.897208476,0.966950160290798,0.295933295
1004,223,9070.197266,1.124722188,0.7690712037650822,0.1263445351
126,491,9057.889734,0.772593036,0.8171619687335016,0.0085758880484375
693,72,8921.616211,3.406258945,0.7958331627385917,0.0810460784
390,194,8903.0394,1.081203034,1.0144111931223618,0.0248815468947469
88,390,8862.902587999999,1.186128155,0.7771530776980424,0.0239736242375
830,63,8859.436523,0.6954135459999999,0.7626449037305738,0.0616751960453125
693,38,8792.258254,4.297848299,0.8639271212595026,0.1353261322
830,797,8632.02832,1.894412838,1.2024898570854772,0.2278450265
126,223,8510.364258,0.854751426,0.7206713604435689,0.1152327757
126,614,8418.575195,1.928419042,0.8117438494232259,0.1401487073
693,797,8412.117224,3.0977088310000003,1.2628347453039046,0.3793146791
491,194,8292.558594,1.6541160780000002,1.2961526309268423,0.8157605456
614,830,8247.453558,1.117720895,0.9477208725128804,0.1881098926
63,797,8241.458008,2.061552813,1.0695903340124264,0.02607423188125
523,226,8146.587401999999,0.221359436,1.0201963570598125,0.12667866855
63,38,8119.08252,3.173594177,0.6706827099680244,0.017368024121875
693,523,8049.805176000002,2.378634062,1.0185163332584328,0.3848717348
515,523,8042.708495999998,0.584893153,0.9692322903087516,0.172703734
797,491,8006.486243,2.015241921,1.2600844221050087,0.00132761864858856
946,194,7906.839844,1.305756486,1.343439701793195,0.3396261148
830,693,7836.539551000002,1.238951169,0.9558893150220519,0.0918932133
693,210,7814.8897670000015,2.120636697,0.7724440533864232,0.01541346786875
515,286,7808.915212000001,0.7887331609999999,0.7096304610229787,0.0084024495625
946,1004,7758.558775,1.32438665,0.9128488829213676,0.097392841
1004,830,7602.801391,1.07893466,0.8079672470354835,0.065727471775
693,491,7578.405195,1.7027624609999998,1.0134838800415833,0.0828246435734375
797,364,7533.368385,0.968968524,1.0956966604774212,0.0590548
693,525,7526.640137,1.5386032630000002,0.9013809939084084,0.1341105794
88,226,7456.28141,1.244387399,1.0633248625027982,0.20024979205
194,63,7453.018784000001,0.8509406559999999,1.1056585428342602,0.0312383752625
390,126,7452.639648,2.087007427,0.5354205309290212,0.002150457946875
523,88,7401.021973000001,1.110900536,1.0639269687193722,0.1172825143
614,515,7330.529785,1.18393412,0.9587817177816264,0.2790169564
390,491,7314.074223,2.47396443,0.728992119038207,8.88987908161163e-05
515,347,7240.539261,5.87,0.7556179831013978,0.0230383110125
946,797,7129.190455,1.525417976,1.3073714929713611,0.1811701794
470,194,7053.875,0.823468275,1.1503568630022465,0.0355887196
491,1004,7028.3315950000015,0.660681466,0.8655618120550148,0.06275599785
364,194,7018.223745,0.8832893070000001,1.1317648692992548,0.23654050004375
491,126,6974.255557,0.772593036,0.8171619687335016,0.0180023323375
515,614,6966.16073,1.18393412,0.9587817177816264,0.18453759905
797,946,6936.23291,1.525417976,1.3073714929713611,0.0991402104
523,272,6928.860352,0.776208735,0.8625877005828559,0.061323280725
614,88,6858.546426999998,1.053422992,1.053476396192247,0.3748521266
63,830,6808.132345,0.6954135459999999,0.7626449037305738,0.01120153475
797,525,6807.540039,1.841982628,1.147981535971834,0.01387833278125
1004,194,6791.816895,1.45361618,1.1509808861391695,0.19325199915
946,830,6719.672852,1.157108465,1.0004260626895087,0.092663998
223,126,6658.140625,0.854751426,0.7206713604435689,0.038743860225
223,1,6599.261447999998,1.145643924,0.7045701199392922,0.017167537099999998
830,1004,6592.580078,1.07893466,0.8079672470354835,0.0350166280625
1004,946,6512.856145000002,1.32438665,0.9128488829213676,0.10237095435
946,693,6491.565614,1.951127879,1.060770950907936,0.06305865125
1004,210,6480.464425,0.5700877129999999,0.6245219853998548,0.004769524484375
830,88,6479.055664,1.035084538,1.0012999504829914,0.1481996376
830,946,6458.917969,1.157108465,1.0004260626895087,0.1944522468
515,88,6456.4551,0.620483682,1.0123607957517375,0.141196507375
