n1,n2,intensity,distance,R1+R2
993,104,15700.557130000001,2052.827319,2.4242995267696603
403,23,15142.59082,1573.18149,1.2757640005912425
677,895,14818.90231,2470.748874,1.5672556987400252
502,726,14573.093359999999,673.2755751,1.9583486136349264
533,894,14554.770519999998,945.6214888000001,1.4548379363749184
463,382,14182.49839,4292.540040999999,2.489299265852793
385,1084,14131.15625,1535.610628,1.795003973120677
918,926,14123.43649,1181.609072,2.2134345790797925
39,993,14106.1904,3684.06026,2.3699640596599085
926,843,14067.326519999999,2176.097424,1.6690535495400047
926,918,14020.585319999998,1181.609072,2.2134345790797925
502,1084,14012.75135,1087.612063,1.3990711409323575
723,993,13928.11682,1526.6302759999999,2.329242233356972
502,484682470,13903.81738,637.9655163,1.4718696927566066
1011,1002,13856.80969,502.99105360000004,1.4627252324683249
127,255,13853.7041,1266.530694,0.924223941572465
312782628,184,13828.696230000001,7226.762761,1.2886036157209442
693,88,13764.34863,446.5422712,1.0616448387014188
589,159,13584.5754,940.4254356,1.752701302733531
484682470,502,13523.41211,637.9655163,1.4718696927566066
993,985,13523.195619999999,1617.559891,2.8567977388440946
502,382,13409.82665,2404.1006629999997,2.1406206210759153
723,159,13406.89844,1816.6452600000002,1.9181871441536906
1002,1027,13397.85476,30.0,1.32755937885889
128,560581563,13369.078379999999,67.08203933,1.4180884891732368
566,961,13351.61377,1772.455923,2.0966432727322344
985,993,13328.16556,1617.559891,2.8567977388440946
566,647,13274.02964,1279.413928,1.535372688329741
926,1084,13247.93964,2261.26071,1.667165777040698
918,502,13242.948709999999,2853.804478,1.9453399429714517
181,262,13178.49541,1899.2630149999998,1.167920422613704
385,409,13169.707040000001,110.0,1.8547254021456046
345,378,13114.170240000001,1916.92462,2.431916701428329
502,886,13112.38682,2775.5539989999997,1.8075166708208283
693,946,13097.48633,1385.6767300000001,1.060770950907936
369,337,13061.1962,484.2520005,1.7906309269988174
985,337,12980.15945,2468.238238,2.219313182054894
1084,926,12934.551529999999,2261.26071,1.667165777040698
693,614,12884.13874,1220.409767,1.0080657607313075
985,369,12852.42149,2105.0653199999997,2.359825568290354
88,693,12849.55371,446.5422712,1.0616448387014188
