origin_abbrev,origin_id,target_abbrev,target_id,projection_volume
ACB,56,LSv,266,0.219376927
PVT,149,ILA,44,0.21889362
ZI,797,MEA,403,0.218683043
ARH,223,PAG,795,0.21853803
CEA,536,BLA,295,0.218511228
LPO,226,LHA,194,0.216387088
ORBm,731,AId,104,0.216321404
PL,972,LHA,194,0.214939186
PL,972,ORBl,723,0.214907442
NDB,596,LSv,266,0.214723314
VMH,693,DMH,830,0.214179858
VTA,749,BST,351,0.214142044
VTA,749,CEA,536,0.213965342
AIv,119,TEa,541,0.213437154
ORBm,731,ORBl,723,0.213420919
AId,104,BLA,295,0.213116594
TU,614,VMH,693,0.211461034
ORBl,723,OT,754,0.210930019
AId,104,CEA,536,0.210689665
DMH,830,ORBm,731,0.209876678
IF,12,LHA,194,0.209825556
DR,872,COAp,647,0.20932494
AIp,111,AId,104,0.20846598
PB,867,MV,202,0.208302979
MPO,523,BST,351,0.207401434
ACB,56,MPO,523,0.207221257
DR,872,ORBl,723,0.207107786
AAA,23,ACB,56,0.203218975
VMH,693,BMA,319,0.203073868
CEA,536,LHA,194,0.202058899
AAA,23,LHA,194,0.201602106
COAp,647,VMH,693,0.200453721
DR,872,PL,972,0.199374012
BST,351,MPO,523,0.199369631
VMH,693,COAp,647,0.198362137
MS,564,SUB,502,0.197949935
PVT,149,PA,780,0.197824025
PARN,852,MDRN,395,0.197440607
PVT,149,LHA,194,0.196631032
VMH,693,PVT,149,0.195543335
MS,564,TRS,581,0.195377553
PVT,149,PL,972,0.194474363
NDB,596,PA,780,0.193999502
DMH,830,AId,104,0.193290463
BLA,295,ILA,44,0.192507169
LHA,194,IRN,136,0.191324969
IRN,136,PAG,795,0.189488762
TU,614,LSr,258,0.18916947
ORBvl,746,BLA,295,0.188602755
MEA,403,ACB,56,0.188523868
TU,614,DMH,830,0.188109893
ZI,797,TEa,541,0.187514782
ILA,44,LSr,258,0.187122969
DR,872,BMA,319,0.185699828
AIv,119,GU,1057,0.184430776
PAG,795,BST,351,0.184214549
ACB,56,LSr,258,0.181600348
ARH,223,BST,351,0.179400598
CEA,536,PARN,852,0.178825534
MEA,403,TEa,541,0.178729804
LSv,266,ACB,56,0.177366339
ILA,44,ORBm,731,0.17682608
TU,614,LSv,266,0.176680665
BLA,295,BMA,319,0.175881703
NDB,596,SUM,525,0.175828165
VTA,749,ZI,797,0.175105761
NDB,596,MEA,403,0.174765946
MEA,403,PA,780,0.174378943
AAA,23,MEA,403,0.174261523
BMA,319,AIp,111,0.174045392
BMA,319,TU,614,0.173858481
LPO,226,LSr,258,0.173839422
FN,989,MV,202,0.171017904
PVT,149,AIp,111,0.169804254
LSr,258,MS,564,0.169781176
AAA,23,BMA,319,0.169447013
DMH,830,ILA,44,0.168461026
ORBvl,746,AIp,111,0.168054975
DR,872,TT,589,0.167903292
VMH,693,PA,780,0.16789677
LA,131,AIp,111,0.167579068
TU,614,CEA,536,0.166984454
VMH,693,LA,131,0.165916303
MDRN,395,NTS,651,0.165088718
BLA,295,AIp,111,0.164741272
MEA,403,AId,104,0.164550679
TU,614,ZI,797,0.164513139
CEA,536,PB,867,0.163178961
AAA,23,AIp,111,0.163168441
BMA,319,AAA,23,0.162383319
PSTN,364,ACB,56,0.161877546
CEA,536,COAp,647,0.161556754
ORBm,731,OT,754,0.160643918
DR,872,CEA,536,0.160597513
CEA,536,IRN,136,0.159492997
BMA,319,LA,131,0.159046969
LHA,194,PARN,852,0.158277965
MV,202,PARN,852,0.158008815
SUB,502,ZI,797,0.156612885
MEA,403,PAG,795,0.156390862
LSv,266,LHA,194,0.156343384
NDB,596,TU,614,0.156092763
LHA,194,LH,186,0.155939714
BST,351,LSr,258,0.154598575
SUB,502,PAG,795,0.154494138
LSv,266,BST,351,0.154338394
DMH,830,TEa,541,0.153771228
AId,104,TEa,541,0.153644
LHA,194,LSr,258,0.153599443
GU,1057,AId,104,0.153006725
PL,972,TEa,541,0.152833601
PAG,795,ACB,56,0.152021277
VMH,693,ARH,223,0.151935525
LA,131,COAp,647,0.151658553
PL,972,AIp,111,0.151350368
CEA,536,NTS,651,0.150512171
CEA,536,OT,754,0.150020033
CEA,536,ACB,56,0.149781288
AIp,111,AIv,119,0.149429447
PSTN,364,PARN,852,0.148633733
MOB,507,OT,754,0.148580773
PVT,149,DMH,830,0.148330923
PB,867,LHA,194,0.148059059
ACB,56,LPO,226,0.147833082
MS,564,ProS,484682470,0.147116752
BST,351,LSv,266,0.14660893
ILA,44,ZI,797,0.145618145
DR,872,MEA,403,0.145180346
AAA,23,CEA,536,0.145111386
COAp,647,AIp,111,0.144693568
MV,202,LHA,194,0.144557877
IF,12,BST,351,0.144220171
PVT,149,ZI,797,0.143337789
PSTN,364,NTS,651,0.143328998
VISpor,312782628,LA,131,0.143075313
AAA,23,BLA,295,0.142603616
LPO,226,NDB,596,0.141694366
DMH,830,AIp,111,0.141662808
ILA,44,MEA,403,0.141617555
LSr,258,LHA,194,0.140679948
MPO,523,TU,614,0.14042843
VISpor,312782628,ACB,56,0.139233057
BMA,319,LHA,194,0.138580436
LSv,266,LSr,258,0.138132659
PL,972,BST,351,0.137609088
VMH,693,BLA,295,0.13678949
NTS,651,PSV,7,0.136682114
PVH,38,BST,351,0.136663749
BST,351,VMH,693,0.136418887
ARH,223,LHA,194,0.135426756
DMH,830,ACB,56,0.135416106
VMH,693,PVH,38,0.135326132
ZI,797,LHA,194,0.134238239
VMH,693,SUM,525,0.134110579
AId,104,ORBvl,746,0.134026325
PA,780,MEA,403,0.133397931
IF,12,BLA,295,0.132319276
PAG,795,IRN,136,0.132103133
AIp,111,GU,1057,0.131463042
MPO,523,ACB,56,0.131450823
AIv,119,ILA,44,0.131124932
ORBm,731,TEa,541,0.130972728
DMH,830,LSr,258,0.1305992
MEA,403,GU,1057,0.130528631
ILA,44,BST,351,0.130385576
LSv,266,MPO,523,0.130276521
MV,202,MDRN,395,0.129887404
TU,614,LPO,226,0.129347476
ZI,797,GU,1057,0.129150425
AId,104,ORBm,731,0.128834068
LHA,194,CEA,536,0.128561989
LHA,194,PB,867,0.128090856
AOB,151,COAp,647,0.127276751
MS,564,LSv,266,0.127097616
ZI,797,LA,131,0.12698892
PSTN,364,PB,867,0.126789808
MPO,523,LPO,226,0.126678669
PVT,149,LA,131,0.126586595
MS,564,LHA,194,0.126186277
TT,589,LHA,194,0.125763985
AIv,119,PAG,795,0.125531728
VISpor,312782628,PAG,795,0.125251387
TU,614,ARH,223,0.125132241
PVT,149,ProS,484682470,0.123896397
NDB,596,COAp,647,0.123364043
COAp,647,LA,131,0.122333673
PB,867,IRN,136,0.122166972
PSV,7,PAG,795,0.121798702
LHA,194,MDRN,395,0.121450328
PAG,795,BLA,295,0.121368503
TT,589,LSr,258,0.121224305
