x,y,z
1.6552135699871995,-3.4122306224812893,2.0295142575598444
2.5691401787485857,-0.5653061042620089,0.34542679541032406
-2.056125286250907,-3.9162215304110837,0.9078527843427002
3.7556592666786583,-1.6796116610869523,2.679336451485094
2.450386241653791,-2.4216253239692582,0.9324956021726747
-2.0681029116004472,-1.8575141533108295,3.2712236881032526
-3.515414674199049,1.6931457963350995,0.2021359051029421
-0.6849991155919937,-2.0590417427175374,-2.188893842232463
3.0750088001863904,-2.6231985890785134,2.5505191323161203
-1.1737521526046417,1.5540624301652919,-3.757711119483242
-3.660646374506743,2.8357057831444363,-0.050107791016078984
1.217494312470449,-1.3884591315621488,2.2725386969918526
-1.2126235585046636,3.9313665701041653,2.6353180945895076
-0.5530696396393768,-0.028112921056747453,0.6708491751902006
-1.878294137656154,2.570663102514648,2.7495696201750794
1.1371671240575685,2.837083902515845,4.174908574362048
-1.813495682249226,0.4216646966709954,-3.1480432179128885
4.092146822468633,-2.332496324972989,1.6389904689549661
-3.8304330050907986,3.503859039960383,-1.177684104876057
3.3353698426737104,-1.394197677090116,-1.5680565091841827
2.1807454515049765,-2.995547582772419,3.427273010417733
3.5332136049569733,-1.1743857112814706,1.6537495278592074
0.10834978904977355,2.7041247494581837,-4.084130171824661
-3.9668202962768646,-3.334221963429208,0.32625337555568557
0.9307326173954173,1.8461348001597964,-0.09135349830135109
1.4036338092893779,-1.664529572541944,-1.964070514420555
