origin_abbrev,origin_id,target_abbrev,target_id,projection_volume
SUM,525,HY,1097,0.105505421951562
DMH,830,LZ,290,0.1045400104
AHN,88,DORpm,856,0.104458060131752
MM,491,MRN,128,0.10433518060000001
VMH,693,PMv,1004,0.10406253480000001
LHA,194,AHN,88,0.1035018964
MPN,515,LSr,258,0.1034982214
LPO,226,PVR,141,0.10334427032890599
ZI,797,MRN,128,0.101003161
SBPV,347,root,997,0.099739353
STN,470,grey,8,0.09956461832529301
AHN,88,PeF,576073704,0.099496019
SUM,525,MB,313,0.0989211892429687
MPN,515,LSv,266,0.0978175632
LHA,194,MB,313,0.0977951408
SUM,525,MEZ,467,0.0976782864039062
PH,946,PMv,1004,0.097392841
SBPV,347,IB,1129,0.0967688336160995
SBPV,347,grey,8,0.0967688336160995
SBPV,347,BS,343,0.0967688336160995
SBPV,347,HY,1097,0.096768826
TU,614,LHA,194,0.095343416
PVHd,63,MEZ,467,0.0946257905530273
PH,946,PVR,141,0.09266399800000001
PH,946,DMH,830,0.09266399800000001
STN,470,BS,343,0.092562459831543
STN,470,IB,1129,0.0918485374112305
ZI,797,STN,470,0.091042637
MPO,523,CNU,623,0.0902345825717495
MPO,523,CH,567,0.0902345825717495
MPO,523,PAL,803,0.09023452900000001
LHA,194,PH,946,0.088878895
MPO,523,PALc,809,0.0877007586
MPO,523,BST,351,0.0877007586
ARH,223,PVZ,157,0.0872272416174072
TU,614,PMv,1004,0.0841489348
MPO,523,AHN,88,0.08355048799999999
AHN,88,PVH,38,0.083024179
LPO,226,MPO,523,0.082910254
VMH,693,LHA,194,0.0786692011
MM,491,MMd,606826659,0.07815622255
LHA,194,TH,549,0.07766641120000001
STN,470,HY,1097,0.0776492661
AHN,88,PVHd,63,0.07747368685
LPO,226,CNU,623,0.0774396987847656
LPO,226,CH,567,0.0774396987847656
LPO,226,PAL,803,0.077439698
STN,470,LZ,290,0.0770372270349609
PH,946,MED,444,0.0758069659375
PMv,1004,PH,946,0.07421736
AHN,88,PAL,803,0.07294076299999999
AHN,88,PALc,809,0.0729407607505279
AHN,88,CH,567,0.0729407607505279
AHN,88,CNU,623,0.0729407607505279
AHN,88,BST,351,0.07293979769999999
SUM,525,MBO,331,0.0723376511033203
AHN,88,MTN,571,0.0722230532625
ZI,797,VENT,637,0.0706336075703125
PMv,1004,MBO,331,0.0699566477984558
DMH,830,VMH,693,0.0691859812
LPO,226,MSC,904,0.0690492957
LPO,226,NDB,596,0.0690492957
LPO,226,PALm,826,0.0690492957
ZI,797,FF,804,0.06893635070000001
DMH,830,MTN,571,0.0678885546780273
VMH,693,MBO,331,0.0674372215374512
PH,946,LZ,290,0.0673441374714233
LHA,194,VENT,637,0.0670007126147461
LHA,194,DORsm,864,0.0670007126147461
VMH,693,PH,946,0.0669018217
PH,946,LHA,194,0.0668720542
LHA,194,VM,685,0.06638874269999999
PH,946,PMd,980,0.0662118148398437
AHN,88,RCH,173,0.06600531280000001
DMH,830,AHN,88,0.06524825299999999
TU,614,ARH,223,0.0652080632
TU,614,PVZ,157,0.0652080632
VMH,693,TM,557,0.065074352
AHN,88,TU,614,0.0641876333
MM,491,MMme,732,0.0638246315
MM,491,MMm,606826651,0.06374840955
ZI,797,PoT,563807435,0.0637029204
PVp,126,MEZ,467,0.0636688460972942
AHN,88,RE,181,0.0636237658
PMv,1004,PMd,980,0.06339641559999999
PSTN,364,LHA,194,0.06324769570000001
MM,491,fiber tracts,1009,0.0622117279
ZI,797,PIL,560581563,0.0616981197
ZI,797,ILM,51,0.0616981197
DMH,830,PVHd,63,0.0616751960453125
PH,946,SPA,609,0.061523217874999994
DMH,830,ZI,797,0.0612692129
VMH,693,AHN,88,0.0608144929
ZI,797,VP,709,0.0607619009703125
TU,614,PVR,141,0.05911345545
ZI,797,PSTN,364,0.0590548
AVPV,272,root,997,0.0590262616152344
ZI,797,SPFp,422,0.0589369942
ZI,797,SPF,406,0.0589369942
